id,name,place,location,landmark,ratings,info,price,tag,accessibility,occupancy,description,reviews,lat,lng,tax
49,GT GOVEIA SUITES,Goa,Candolim,| 9 minutes walk to Candolim Beach,3.3,"['24-hour Room Service', 'Restaurant']","₹2,087 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges20%DiscountonF&Bservices,,44.4264,8.91519,
50,BOB Beach House,Goa,Calangute,| 1.2 km drive to Candolim Beach,4,"['Swimming Pool', 'Restaurant']","₹1,367 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,,,44.4264,8.91519,
51,goSTOPS PLUS Goa Vagator,Goa,Vagator,| 5 minutes walk to Calangute Beach,4,"['Beds in a Hostel', '| 2 Dorm Beds']","₹1,785 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,Rooms&dormsinahostelfeaturingapool&cafe,,15.59766,73.74496,
52,DOWN D VILLAGE.,Goa,Candolim,null,2.7,"['Swimming Pool', 'Living Room']","₹1,216 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 6 guests,,,44.4264,8.91519,
53,Amoravida by 7 Apple Resort (Near Mopa Airport),Goa,North Goa,| 5 minutes walk to Candolim Beach,4,"['Gym', 'Kids Play Area']","₹5,704 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,44.4264,8.91519,
54,Shelsta Holiday Resort,Goa,Calangute Baga Road,null,3.7,"['null', 'Beds in a Hostel']","₹3,445 per night",null,null,null,CoupleFriendly,,44.4264,8.91519,
55,Shrikrishna Studio Goa | Rooms & Pool,Goa,Calangute,| 7 minutes walk to Calangute Beach,4.5,"['| 2 Dorm Beds', 'Swimming Pool']","₹2,375 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 6 guests,"CoupleFriendlyBreakfastavailableatextrachargesApartmentfeaturingapool,garden&in-houserestaurant",,,,
56,Metropolis Business Hotel,Goa,Panjim,null,3.8,"['Pool/ Beach towels', 'Swimming Pool']","₹3,818 per night",null,null,null,"FreeCancellationBook@₹0available10%DiscountOnAirportTransfer,SubjecttoAvailability",,44.4264,8.91519,
57,"The Golden Suites & Spa,Calangute",Goa,Calangute,| 9 minutes walk to Deltin Royale,3.6,"['Kids Play Area', 'Gym']","₹3,731 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,10.3185518,123.9003671,
58,"Porto By Lagom,Vagator",Goa,Vagator,| 1.6 km drive to Calangute Beach,3.9,"['Swimming Pool', 'Room in an Apartment']","₹4,262 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.59766,73.74496,
59,Jungle by sturmfrei Palolem,Goa,Palolem,| 1.5 km drive to Vagator Beach,4.1,"['| 1 Bedroom | Sleeps 3 guests', 'Swimming Pool']","₹1,960 per night",null,Beds in a Hostel,| 2 Dorm Beds,"CoupleFriendlyDormitoryfeaturingalounge,terrace&ArabianSeaviews",,15.01667,74.01667,
60,The Center Court Resort and Spa,Goa,Varca,| About a minute walk to Palolem Beach,4.1,"['Reception', '| 2 Dorm Beds']","₹3,649 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
61,Brendons Goa,Goa,Palolem,| 1.7 km drive to Varca Beach,4.5,"['Swimming Pool', 'Bonfire']","₹4,014 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesBeachfrontpropertyfeaturingarestaurant,lawn&seaviews",,15.40927,73.78869,
62,Mariaariose - Melody of the Sea,Goa,Bogmalo,| About a minute walk to Palolem Beach,3.1,"['Room in an Apartment', '| 1 Bedroom | Sleeps 6 guests']","₹2,800 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available,,44.4264,8.91519,
63,Bloomrooms @ Calangute,Goa,Calangute,| 1.5 km drive to Bogmalo Beach,3.9,"['Reception', 'Housekeeping']","₹5,650 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesWelcomeDrinkonarrival,,15.5439,73.7553,
64,"The Hosteller Bam Goa, Saligao",Goa,Bardez,| 4-5 minutes walk from Candolim Beach,5,"['Kids Play Area', 'Swimming Pool']","₹3,802 per night",Like a 4 Star,Room in a Hostel,| 1 Bedroom | Sleeps 2 guests,CoupleFriendly,,15.55359,73.79036,
65,Antara Goa,Goa,Calangute Baga Road,null,3.9,"['Restaurant', '| 1 Bedroom | Sleeps 6 guests']","₹3,808 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.40927,73.78869,
66,"DeAmour: A Dreamy Getaway, Near Beach",Goa,Anjuna,| 7 minutes walk to Calangute Beach,3.8,"['Shared Swimming Pool', 'Reception']","₹3,506 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,,,
67,Riviera Hermitage,Goa,Arpora,| 1.1 km drive to Anjuna Beach,4.3,"['24-hour Room Service', 'Butler Services']","₹5,875 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,15.5757495,73.7608792,
68,Calangute Grande,Goa,Calangute Baga Road,null,3.7,"['Swimming Pool', 'Kids Play Area']","₹3,709 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
69,The Tubki Resort,Goa,Palolem,| 6 minutes walk to Calangute Beach,4.4,"['Swimming Pool', 'Restaurant']","₹2,603 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges,,14.9976142,74.0395844,
70,Shivam Bnb,Goa,North Goa,| 2.4 km drive to Palolem Beach,4.1,"['Beds in a Hostel', '| 2 Dorm Beds']",₹647 per night,null,Room in a Homestay,| 1 Bedroom | Sleeps 2 guests,"Poolvillafeaturingsunbeds,sprawlinglawn&caretaker",,15.6744501,73.7521117,
71,Anjuna Beach Resort,Goa,Anjuna,null,3.6,"['Bonfire', 'Caretaker']","₹2,683 per night",null,null,null,CoupleFriendly,,15.5873966,73.7411619,
72,Carnival De Goa - Luxury Apartment near Candolim,Goa,Candolim,| 6 minutes walk to Anjuna Beach,4.3,"['Spa', 'Swimming Pool']","₹4,082 per night",Like a 3 Star,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,"BreakfastIncludedApartmentwithapool,kitchen,livingroom,gym&parking",,15.51807,73.76259,
73,Sera's Beach Side Hotel,Goa,Calangute,null,3.8,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹1,432 per night",null,null,null,CoupleFriendlyFreeCancellation,,44.4264,8.91519,
74,The Hosteller Goa Candolim,Goa,Candolim,| 1-2 minutes walk from Calangute Beach,4.4,"['Housekeeping', 'Wi-Fi']","₹2,274 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"CoupleFriendlyVibranthostelfeaturingapool,indoorgames,lounge&Wi-Fi",,15.51807,73.76259,
75,IORA BAGA BEACH,Goa,Baga,| 10 minutes walk to Candolim Beach,3.7,"['Swimming Pool', 'Restaurant']","₹3,603 per night",null,null,null,"CoupleFriendly10%DiscountOnRoomUpgrade,SubjecttoAvailability",,44.4264,8.91519,
76,Pappi Chulo Hostel - Vagator,Goa,Vagator,| About a minute walk to Baga Beach,3.9,"['Swimming Pool', 'Restaurant']","₹2,152 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly,,15.59766,73.74496,
77,Avontade Suites | Entire Pool Villas,Goa,Anjuna,| 3-4 minutes walk from Vagator Beach,4.4,"['| 1 Bedroom | Sleeps 2 guests', 'Swimming Pool']","₹7,892 per night",Like a 3 Star,Entire Villa,| 2 Bedrooms | Sleeps 8 guests,FreeCancellationBook@₹0available,,44.4264,8.91519,
78,Red Thread Morjim,Goa,Morjim,null,4.7,"['Caretaker', 'Restaurant']","₹13,746 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.63097,73.73903,
79,Casa Severina,Goa,Calangute,| 2 minutes walk to Morjim Beach,4.7,"['Bar', 'Swimming Pool']","₹4,102 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.5352972,73.7616618,
80,Craft Hostel,Goa,Anjuna,| 3-4 minutes walk from Calangute Beach,4.5,"['Water Sports', '| 1 Bedroom | Sleeps 4 guests']","₹1,798 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly,,15.5718987,73.7433833,
81,Cygnett Inn Celestiial,Goa,Calangute,| 2 minutes walk to Anjuna Beach,3.3,"['Housekeeping', 'Caretaker']","₹3,603 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,44.4264,8.91519,
82,Tranquility Cottage Resort,Goa,Baga,| 9 minutes walk to Candolim Beach,4,"['Swimming Pool', 'Restaurant']","₹3,183 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
83,"Taj Fort Aguada Resort & Spa, Goa",Goa,Candolim,| 10 minutes walk to Baga Beach,4.6,"['Gym', 'Kids Play Area']","₹38,088 per night",null,null,null,CoupleFriendlyBreakfastIncludedGetaTajGiftCardworthatleastINR500forF&B&Spa,,15.4976094,73.7670984,
84,SinQ Beach Morjim.,Goa,Morjim,| 1-2 minutes walk from Sinquerium Beach,3.9,"['| 1 Bedroom | Sleeps 2 guests', 'Swimming Pool']","₹6,503 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBeachfrontretreatwithsea-viewroomsandpool,,15.63097,73.73903,
85,Hard Rock Hotel Goa Calangute,Goa,Calangute,| About a minute walk to Morjim Beach,4.1,"['Kitchenette', 'Swimming Pool']","₹8,724 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,15.5459454,73.7667194,
86,ibis Styles Goa Calangute - An Accor Brand,Goa,Calangute,| 1.3 km drive to Calangute Beach,4.1,"['Water Sports', '| 1 Bedroom | Sleeps 4 guests']","₹6,399 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,44.4264,8.91519,
87,Whoopers Party Hostel Palolem,Goa,South Goa,| 10 minutes walk to Calangute Beach,4.4,"['Swimming Pool', 'Reception']","₹5,297 per night",null,Room in a Hostel,| 1 Bedroom | Sleeps 3 guests,"CoupleFriendlyHostelamidstgreenerywithacafe,bar,indoorgames&parking",,15.01667,74.01667,
88,"The Fern Habitat, Candolim, Goa",Goa,Candolim,| 2.4 km drive to Palolem Beach,4.4,"['Spa', 'Indoor Games']","₹7,090 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableEnjoy2pintsofbeerperonceduringthestay&2+1offerduringhappyhoursfrom11:00AMto7:00PM,,15.51807,73.76259,
89,Zense Candolim,Goa,Candolim,| 10 minutes walk to Candolim Beach,3.8,"['Beds in a Hostel', '| 2 Dorm Beds']","₹3,743 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,15.51807,73.76259,
90,Blue Lagoon Resort | Room & Restaurant,Goa,Cola Beach,| 7 minutes walk to Candolim Beach,3.8,"['Swimming Pool', 'Indoor Games']","₹3,377 per night",Like a 3 Star,Room in a Beach Hut,| 1 Bedroom | Sleeps 4 guests,FreeCancellation,,,,
91,Longuinhos Beach Resort,Goa,Colva,null,3.7,"['Water Sports', 'Restaurant']","₹7,841 per night",null,null,null,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
92,Kings Villa Garden View Cottages,Goa,Palolem,| 2 minutes walk to Colva Beach,3.7,"['Beds in a Hostel', '| 2 Dorm Beds']","₹3,453 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastIncludedVillafeaturingalivingroom&alawn,,44.4264,8.91519,
93,SinQ Prive,Goa,Candolim,| 6 minutes walk to Palolem Beach,3.8,"['Lounge', 'Barbeque']","₹4,911 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.5014714,73.7722269,
94,Casa Comforts,Goa,Vagator,| 3-4 minutes walk from Sinquerium Beach,3.3,"['| 2 Bedrooms | Sleeps 8 guests', 'Swimming Pool']","₹7,323 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastIncluded,,44.4264,8.91519,
95,BunkNBrew,Goa,Palolem,| 4-5 minutes walk from Vagator Beach,4.4,"['Caretaker', 'Swimming Pool']",₹905 per night,null,Beds in a Hostel,| 2 Dorm Beds,"Hostelfeaturingakitchen,cafe,beachaccess&parking",,44.4264,8.91519,
96,Sinon Baga Retreat - A Beach Resort,Goa,Baga,| 3-4 minutes walk from Palolem Beach,3.5,"['Kids Play Area', 'Gym']","₹7,686 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available,,44.4264,8.91519,
97,Sun Park Baga,Goa,Baga,| About a minute walk to Baga Beach,3.4,"['Swimming Pool', 'Beds in a Hostel']","₹1,701 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 5 guests,CoupleFriendly,,15.56517,73.75517,
98,Hilltop Seaview Palolem Beach,Goa,Palolem,| 890 m drive to Calangute Beach,3.9,"['| 2 Dorm Beds', 'Kitchenette']","₹4,125 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyBeachfrontcottagewithalawn,on-siterestaurant&bonfire",,44.4264,8.91519,
99,The Acacia Morjim,Goa,Morjim,| 6 minutes walk to Palolem Beach,4.1,"['Living Room', 'Swimming Pool']","₹7,210 per night",null,null,null,CoupleFriendlyBreakfastIncluded10%OffonF&Bservices,,15.63097,73.73903,
100,Aldeia Santa Rita,Goa,Candolim,| 6 minutes walk to Morjim Beach,4.1,"['Restaurant', 'Swimming Pool']","₹6,934 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges,,15.5024843,73.7711498,
101,Amritara Aura Resort & Spa,Goa,North Goa,| 4-5 minutes walk from Sinquerium Beach,4.3,"['Restaurant', 'Spa']","₹6,645 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableComplimentaryHi-Tea,,,,
102,"The Fern Residency Miramar, Goa",Goa,Panjim,| 1.3 km drive to Mandrem Beach,3.7,"['Swimming Pool', 'Jacuzzi']","₹4,766 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available,,15.47232,73.80967,
103,Bells Beach Resort (A unit of Resort De Balneaire),Goa,Calangute,| 1.4 km drive to Miramar Beach,3.8,"['Indoor Games', 'Gym']","₹3,278 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesModesthotelfeaturingaplungepool&well-appointedrooms,,44.4264,8.91519,
104,Spectrum Hub Candolim,Goa,Candolim,| 4-5 minutes walk from Calangute Beach,4.5,"['Swimming Pool', 'Swimming Pool']","₹2,347 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly,,15.51807,73.76259,
105,Hotel Colva Kinara,Goa,Colva,| 5 minutes walk to Candolim Beach,3.8,"['Gym', 'Room in a Hostel']","₹3,617 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges,,44.4264,8.91519,
